wallet,tx_count_365d,total_volume,active_weeks,avg_tx_value,tx_per_active_week,trader_activity_status,trader_volume_status,trader_consistency_status,future_tx_count,target_variable
0xcaa62b4ab5386f23e756b97b6662bd1f9f01ee76,1,0.14004762610395965,1,0.14004762610395965,1,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0x433dd3a9a7b5d87a90f6541ee7900c55b03a7235,2,0.003159048091036175,1,0.0015795240455180875,2,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xc17a98d6ccd01c16780d71b9f2b43200fc14baa5,3,0.009020064469063003,1,0.0030066881563543344,3,Regular User,Medium Value,Inconsistent,0,Bad Trader
0x1880a2b761d8df5b61803a71e856f510e705ffe7,22,615.6544990225792,5,27.984295410117237,4.4,Frequent User,Medium Value,Consistent,18,Good Trader
0x5ade9eaa274d8de0b5af96ba99a4073f50c317cd,134,1068.5788540660699,9,7.974469060194552,14.88888888888889,Frequent User,Medium Value,Consistent,13,Good Trader
0x25664f2ab7b5f053c607af82e987ec103cb5e529,3,6.204545540131069e-10,1,2.0681818467103564e-10,3,Regular User,Low Value,Inconsistent,0,Bad Trader
0xffe2cacf1bd48ed3eb22149b273c0698f67a0e08,17,0.0006224338937953762,2,3.661375845855154e-05,8.5,Frequent User,Low Value,Consistent,5,Good Trader
0xd58d46d1316f54548dec8cd1813279314f8ce319,2,0.004141302382527035,1,0.0020706511912635174,2,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x0b20f7cd2a618a08a10fecc3e7bfac1bffe6e2e8,10,85.04091760038185,4,8.504091760038184,2.5,Regular User,Medium Value,Consistent,38,Good Trader
0xd1fad074908e2e8c081660f7f002016b440b72bc,945,78063.91589475208,52,82.60731840714506,18.173076923076923,Frequent User,High Value,Consistent,156,Good Trader
0xfdef9b1119d230b138d79e89694c9b154ff9cba0,1,1.6183281238679781e-13,1,1.6183281238679781e-13,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x6fda32a6425264a64a773411a50aa15870197e28,2,0.009590258384181084,2,0.004795129192090542,1,Occasional User,Medium Value,Consistent,0,Bad Trader
0xef3708c43c9635db2dc9a7ed9046f2bffc553253,22,66.9427652776927,1,3.04285296716785,22,Frequent User,Medium Value,Inconsistent,73,Good Trader
0xb602d26e5fbf310291019c1e3df88b7cacc33435,3,1.8673016813861286e-13,1,6.224338937953761e-14,3,Regular User,Low Value,Inconsistent,0,Bad Trader
0x0386a32375d66133a24bdc9708df49d3863a897d,3,0.009281234214191613,2,0.003093744738063871,1.5,Regular User,Medium Value,Consistent,0,Bad Trader
0x17aae083e4705c4a0943304836fda7835c6cf991,13,15.063040018739434,2,1.1586953860568796,6.5,Frequent User,Medium Value,Consistent,12,Good Trader
0x49c3737b430877e3995465ca93da0146b3f83b8b,177,1474.6786197534716,29,8.331517625725828,6.103448275862069,Frequent User,High Value,Consistent,136,Good Trader
0x74990f24c768e4b7c244ff192b1357ee7cdf51c8,6,162.23472990803594,6,27.039121651339325,1,Regular User,Medium Value,Consistent,86,Good Trader
0x91de7ca689a98334e11d17c87f9c5628e1e95515,147,2312.4508413812364,10,15.730958104634261,14.7,Frequent User,High Value,Consistent,32,Good Trader
0x9f73b05eff990a45a18dc81d8aa981af0e3b330c,148,1668.5064591333853,16,11.273692291441792,9.25,Frequent User,High Value,Consistent,120,Good Trader
0x824aa0a0a1feb3f6a3b8f874536867fabc230e11,1,2.8850433411309484e-10,1,2.8850433411309484e-10,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x600439d44c56576c53c304d9ffb32305725c443c,1,0.30810477742871123,1,0.30810477742871123,1,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0xffe0df01c06e6cbb048cf3d2d4bf3387fac69233,8,27.236579736957353,5,3.404572467119669,1.6,Regular User,Medium Value,Consistent,8,Good Trader
0x61d8cd582abcb82bd633a630aeefee66abb5ceef,20,3.203046869017328,6,0.1601523434508664,3.3333333333333335,Frequent User,Medium Value,Consistent,1,Bad Trader
0xd480986501b3fc889109c3ccd643077ecce864af,112,43.583637324324286,27,0.38913961896718113,4.148148148148148,Frequent User,Medium Value,Consistent,8,Good Trader
0xa7d182328ba0b4b1dc6cb742be828349e3e0ce35,7,34.410010726863135,2,4.915715818123305,3.5,Regular User,Medium Value,Consistent,40,Good Trader
0xb4e027e09563d66f90363acabaf5e2a6cd4079fd,158,172564.84040330476,33,1092.1825341981314,4.787878787878788,Frequent User,High Value,Consistent,16,Good Trader
0xa42621e136e549f6a836fd87cc193a383ebaf8d1,10,3.734631372297477e-09,10,3.734631372297477e-10,1,Regular User,Low Value,Consistent,21,Good Trader
0xf4aa8f64adf9ed2f187f0c0d6705895ef094899f,2,0.009244876259230787,1,0.0046224381296153935,2,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0xb6db05e206af41a5f338be88cb1f80a21192101e,2,0.0024542732837558867,1,0.0012271366418779434,2,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xf611de44f9cd5a3373e4ad55837a1085dbac9fc9,26,210.53530826341253,8,8.097511856285097,3.25,Frequent User,Medium Value,Consistent,5,Good Trader
0x4e416130f39ba7d68d39c779030efc48e9acad84,161,242.37821579538314,11,1.505454756493063,14.636363636363637,Frequent User,Medium Value,Consistent,9,Good Trader
0x3c3d5e4cb0a2baf6c1af8dcb8b3209d2093b817c,63,1879.744324744054,11,29.837211503873874,5.7272727272727275,Frequent User,High Value,Consistent,31,Good Trader
0x28135c672ef1e298f8ee2b2393fad99fc93cfd45,3,0.005057611877212554,1,0.0016858706257375181,3,Regular User,Low Value,Inconsistent,0,Bad Trader
0xf5ea3917d7b26f24d207a32e91985504b4441690,1,1.3092585739038842e-10,1,1.3092585739038842e-10,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xa8e2a194ffb2eed627ad0aa55212ca43c67c7ffa,4,0.012448677875907524,1,0.003112169468976881,4,Regular User,Medium Value,Inconsistent,137,Good Trader
0xbf514e7468b4a2d612b06590de68d857f3c6da1e,1,0.0017627669155621097,1,0.0017627669155621097,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xafacf7c701f3de0b10fe6f736d7153354525deca,2,0.007248653168837016,1,0.003624326584418508,2,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0x227f7ee5897b988122f5ac08da37b746e8692530,1,0.009057681785178415,1,0.009057681785178415,1,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0x801cab2e298569573e16bdde7fc2be636b3339d2,89,584.0211894824098,10,6.562035836881009,8.9,Frequent User,Medium Value,Consistent,104,Good Trader
0xdfb93af75a1556eb1a37431cef9f146251834741,2,0.0014494612627530398,1,0.0007247306313765199,2,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xee4a6c58cd9e559c8cf9df69ed80ddf8879319af,73,2073.2195420911307,15,28.400267699878505,4.866666666666666,Frequent User,High Value,Consistent,10,Good Trader
0x8db66e1ed28c48b4e566d0d1e3a7255ac500b1ab,3,0.4027572528955527,3,0.1342524176318509,1,Regular User,Medium Value,Consistent,0,Bad Trader
0x6630f57805545e256e608e5bbc1aad8495130dcd,3,0.012340453227397817,1,0.004113484409132606,3,Regular User,Medium Value,Inconsistent,0,Bad Trader
0x90bebf41d9ba3c7917666843659a245368848cbf,55,360.0657813340656,10,6.546650569710284,5.5,Frequent User,Medium Value,Consistent,96,Good Trader
0x6d685e50a1d45af4a762e9db44cc2c9b9e595f21,2,0.15165455977176848,1,0.07582727988588424,2,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0xe15964ec05a79c35c622b34ef8512454c85afd90,1,1.5560847344884405e-13,1,1.5560847344884405e-13,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x523cd67199fb49c936a4885667845ca324acc3e3,79,113542.41710002854,35,1437.2457860763107,2.257142857142857,Frequent User,High Value,Consistent,14,Good Trader
0xd76669000acf4dc8dbfd1729cd2a2ade23737379,152,4632.075883928429,15,30.47418344689756,10.133333333333333,Frequent User,High Value,Consistent,8,Good Trader
0x536a473010a4c8c0a18c40d12fe7299f29716086,403,1069.6143040782983,20,2.654129786794785,20.15,Frequent User,Medium Value,Consistent,14,Good Trader
0x6c4b5d3a75d3559d511ec2a7ee7d75e2abacc1d8,3,0.004835103162472516,2,0.0016117010541575052,1.5,Regular User,Low Value,Consistent,0,Bad Trader
0xce9e012d59820dcbcea3df42e9f242587988e426,5,0.15240002386411458,2,0.030480004772822915,2.5,Regular User,Medium Value,Consistent,8,Good Trader
0xdaccc502bf5b1f37ccceb95137ccb5ca9a354061,3,279.24514911270563,3,93.08171637090187,1,Regular User,Medium Value,Consistent,5,Good Trader
